"","year","price","mileage","location","age"
"349",2020,28.5,23.157,"Pennsylvania",2
"350",2008,99.999,93.983,"Pennsylvania",14
"351",2021,27.99,8.037,"Pennsylvania",1
"352",2020,18.995,56.76,"Pennsylvania",2
"353",2015,13.9,71.17,"Pennsylvania",7
"354",2019,23,66.172,"Pennsylvania",3
"355",2021,25.43,8.676,"Pennsylvania",1
"356",2020,18.05,72.588,"Pennsylvania",2
"357",2020,21.204,55.389,"Pennsylvania",2
"358",2012,12.899,144.361,"Pennsylvania",10
"359",2012,5.49,135.626,"Pennsylvania",10
"360",2020,24.888,33.962,"Pennsylvania",2
"361",2019,21.5,58.347,"Pennsylvania",3
"362",2015,13.084,113.264,"Pennsylvania",7
"363",2018,12.99,127.82,"Pennsylvania",4
"364",2018,18,56.242,"Pennsylvania",4
"365",2014,12.997,63.866,"Pennsylvania",8
"366",2020,25.848,27.014,"Pennsylvania",2
"367",2016,15,93.168,"Pennsylvania",6
"368",2021,26.811,9.459,"Pennsylvania",1
"369",2013,4.9,192.543,"Pennsylvania",9
"370",2019,20.9,50.418,"Pennsylvania",3
"371",2020,24.99,17.886,"Pennsylvania",2
"372",2019,21.588,23.614,"Pennsylvania",3
"373",2021,18.9,62.913,"Pennsylvania",1
"374",2019,25.99,29.603,"Pennsylvania",3
"375",2015,11.866,109.696,"Pennsylvania",7
"376",2020,22.094,12.633,"Pennsylvania",2
"377",2014,12.609,121.609,"Pennsylvania",8
"378",2019,21.949,57.858,"Pennsylvania",3
"379",2022,26,1.546,"Pennsylvania",0
"380",2019,19.475,64.072,"Pennsylvania",3
"381",2020,25.668,24.163,"Pennsylvania",2
"382",2020,20.394,63.354,"Pennsylvania",2
"383",2018,22.475,5.616,"Pennsylvania",4
"384",2021,27.99,11.584,"Pennsylvania",1
"385",2022,26.9,12.513,"Pennsylvania",0
"386",2020,19.994,62.212,"Pennsylvania",2
"387",2020,21.394,63.174,"Pennsylvania",2
"388",2020,29,18.72,"Pennsylvania",2
"389",2016,11.995,103.19,"Pennsylvania",6
"390",2021,22.998,39.353,"Pennsylvania",1
"391",2013,13.497,76.828,"Pennsylvania",9
"392",2022,32.235,0.363,"Pennsylvania",0
"393",2015,15,75.094,"Pennsylvania",7
"394",2008,8.199,110.348,"Pennsylvania",14
"395",2020,28.225,42.769,"Pennsylvania",2
"396",2017,19.985,38.134,"Pennsylvania",5
"397",2019,17.5,58,"Pennsylvania",3
"398",2014,12.492,84.276,"Pennsylvania",8
"399",2020,16.995,85.85,"Pennsylvania",2
"400",2021,22.5,11,"Pennsylvania",1
"401",2015,13.449,84.8,"Pennsylvania",7
"402",2019,20.485,65.995,"Pennsylvania",3
"403",2017,11.99,129.02,"Pennsylvania",5
"404",2020,22.585,36.038,"Pennsylvania",2
"405",2017,11.991,91.761,"Pennsylvania",5
"406",2021,34.9,9.463,"Pennsylvania",1
"407",2012,12.995,51.547,"Pennsylvania",10
"408",2017,13.345,105.671,"Pennsylvania",5
"409",2019,17.599,93.585,"Pennsylvania",3
"410",2016,15.995,40.109,"Pennsylvania",6
"411",2020,22.99,41.382,"Pennsylvania",2
"412",2020,26.999,36.614,"Pennsylvania",2
"413",2020,24.699,28.702,"Pennsylvania",2
"414",2020,27.682,26.8,"Pennsylvania",2
"415",2019,23.29,41.453,"Pennsylvania",3
"416",2002,5.499,103.352,"Pennsylvania",20
"417",2021,29.9,19.497,"Pennsylvania",1
"418",2020,21,58.494,"Pennsylvania",2
"419",2017,14.5,65.3,"Pennsylvania",5
"420",2017,16.588,80.007,"Pennsylvania",5
"421",2015,15,79.915,"Pennsylvania",7
"422",2016,13.991,101.456,"Pennsylvania",6
"423",2017,18.795,42.629,"Pennsylvania",5
"424",2020,18.5,55.791,"Pennsylvania",2
"425",2020,18.943,68.58,"Pennsylvania",2
"426",2013,9.8,159.182,"Pennsylvania",9
"427",2015,12.998,99.897,"Pennsylvania",7
"428",2020,23,5,"Pennsylvania",2
"429",2014,12.993,79.331,"Pennsylvania",8
"430",2021,23.29,49.552,"Pennsylvania",1
"431",2021,24.348,14.819,"Pennsylvania",1
"432",2020,25.488,17.036,"Pennsylvania",2
"433",2019,25.5,31.557,"Pennsylvania",3
"434",2019,23.996,22.474,"Pennsylvania",3
"435",2015,11.511,109.378,"Pennsylvania",7
"436",2020,24.885,42.177,"Pennsylvania",2
"437",2020,23,10,"Pennsylvania",2
"438",2017,17.99,45.149,"Pennsylvania",5
"439",2019,23,29,"Pennsylvania",3
"440",2020,18.49,63.323,"Pennsylvania",2
"441",2020,22.975,38.037,"Pennsylvania",2
"442",2020,17.949,90.956,"Pennsylvania",2
"443",2018,20.575,72.92,"Pennsylvania",4
"444",2022,24.996,16.837,"Pennsylvania",0
"445",2019,22.998,27.077,"Pennsylvania",3
"446",2019,25.9,15.536,"Pennsylvania",3
"447",2015,13.69,85.867,"Pennsylvania",7
"448",2005,4.99,114,"Pennsylvania",17
"449",2019,17.99,60.874,"Pennsylvania",3
"450",2020,21.389,55.877,"Pennsylvania",2
"451",2016,99.999,128.817,"Pennsylvania",6
"452",2021,25.674,5.883,"Pennsylvania",1
"453",2015,13.297,61.383,"Pennsylvania",7
"454",2021,26.575,21.542,"Pennsylvania",1
"455",2012,7.5,153.175,"Pennsylvania",10
"456",2021,25.9,10.923,"Pennsylvania",1
"457",2020,26.5,23.785,"Pennsylvania",2
"458",2020,21.451,28.005,"Pennsylvania",2
"459",2022,34.03,0.344,"Pennsylvania",0
"460",2015,19,28.95,"Pennsylvania",7
"461",2011,9.9,57,"Pennsylvania",11
"462",2020,21.888,17.914,"Pennsylvania",2
"463",2021,21.911,28.08,"Pennsylvania",1
"464",2021,26.521,29.941,"Pennsylvania",1
"465",2020,21.5,10,"Pennsylvania",2
"466",2013,11.785,66.146,"Pennsylvania",9
"467",2020,22.988,51.251,"Pennsylvania",2
"468",2018,15,107.966,"Pennsylvania",4
"469",2020,21,12,"Pennsylvania",2
"470",2019,21.475,25.416,"Pennsylvania",3
"471",2013,15,8,"Pennsylvania",9
"472",2017,16.95,69.234,"Pennsylvania",5
"473",2020,17.99,66.027,"Pennsylvania",2
"474",2015,17.892,57.96,"Pennsylvania",7
"475",2019,18.985,115.658,"Pennsylvania",3
"476",2011,8.498,109.2,"Pennsylvania",11
"477",2015,12,125.567,"Pennsylvania",7
"478",2021,23.248,6.599,"Pennsylvania",1
"479",2020,22.297,10.82,"Pennsylvania",2
"480",2019,25.422,35.458,"Pennsylvania",3
"481",2019,22.95,54.39,"Pennsylvania",3
"482",2018,16.978,83.725,"Pennsylvania",4
"483",2019,18.999,66.256,"Pennsylvania",3
"484",2015,16.312,29.806,"Pennsylvania",7
"485",2019,18.999,63.699,"Pennsylvania",3
"486",2015,16,45.147,"Pennsylvania",7
"487",2022,29.999,6.446,"Pennsylvania",0
"488",2021,24.95,35.478,"Pennsylvania",1
"489",2015,11.877,97.289,"Pennsylvania",7
"490",2020,23.888,36.56,"Pennsylvania",2
"491",2016,17.474,68.518,"Pennsylvania",6
"492",2020,24.172,13.112,"Pennsylvania",2
"493",2020,25.999,9.684,"Pennsylvania",2
"494",2018,20.5,27.37,"Pennsylvania",4
"495",2012,10.795,107.25,"Pennsylvania",10
"496",2020,19.946,61.494,"Pennsylvania",2
"497",2019,23.888,22.702,"Pennsylvania",3
"498",2015,19.775,37.599,"Pennsylvania",7
"499",2020,20.299,61.723,"Pennsylvania",2
"500",2020,21.539,47.666,"Pennsylvania",2
"501",2022,31,0.515,"Pennsylvania",0
"502",2014,14.49,72.978,"Pennsylvania",8
"503",2020,21.19,59.603,"Pennsylvania",2
"504",2017,15.997,82.34,"Pennsylvania",5
"505",2016,15.995,76.78,"Pennsylvania",6
"506",2010,99.999,141.722,"Pennsylvania",12
"507",2021,27.5,24.917,"Pennsylvania",1
"508",2018,12.999,135.943,"Pennsylvania",4
"509",2022,26.25,3.993,"Pennsylvania",0
"510",2020,21,32.113,"Pennsylvania",2
"511",2021,22.999,4.916,"Pennsylvania",1
"512",2012,9.8,107.08,"Pennsylvania",10
"513",2021,24.998,24.167,"Pennsylvania",1
